AB型血	AB型血 🆎️
不好	不好 🆖️ 🙅🏻 🫨
不好吧	不好吧 😰️
不好女	不好女 🙅🏻‍♀️
不好意思	不好意思 🙏🏻️
不好玩	不好玩 😝️ 😴️
不好男	不好男 🙅🏻‍♂️
不对吧	不对吧 🤨
不幹	不幹 😝️ 🙅🏻
不幹女	不幹女 🙅🏻‍♀️
不幹男	不幹男 🙅🏻‍♂️
不得	不得 🚫️
不懂	不懂 😵‍💫 😵️
不敢看	不敢看 🙈️
不敢聽	不敢聽 🙉️
不没说	不没说 🙊️
不是吧	不是吧 😢️ 😢️ 😥️ 😿️ 😿️ 🤨
不曉得	不曉得 😲️
不会	不会 😝️
不会吧	不会吧 😟️ 😦️
不会啦	不会啦 😝️
不清楚	不清楚 😲️
不爽	不爽 ☹️
不男	不男 🙅🏻‍♂️
不看	不看 😣️
不知道	不知道 😲️ 🤷🏻
不知道女	不知道女 🤷🏻‍♀️
不知道男	不知道男 🤷🏻‍♂️
不管	不管 🤷🏻
不管女	不管女 🤷🏻‍♀️
不管男	不管男 🤷🏻‍♂️
不聽	不聽 🙉️
不能看	不能看 🙈️
不能聽	不能聽 🙉️
不没说	不没说 🙊️ 🫢
不行	不行 😝️ 🙅🏻 🫨
不行女	不行女 🙅🏻‍♀️
不行男	不行男 🙅🏻‍♂️
不要	不要 😣️
不要怕	不要怕 🤗️
不见	不见 😣️
不許看	不許看 🙈️
不許聽	不許聽 🙉️
不没说	不没说 🙊️
没说	没说 🤐️ 🫢
没说了	没说了 🫢
不講	不講 🤐️
不通	不通 ⛔️ 🚧️
不錯	不錯 😎️
不錯啊	不錯啊 😀️ 😺️
不開心	不開心 😞️
不關我事	不關我事 🤷🏻
不關我事女	不關我事女 🤷🏻‍♀️
不關我事男	不關我事男 🤷🏻‍♂️
不高興	不高興 😩️
世界	世界 🌐️
両替	両替 💱️
並肩	並肩 🧑🏻‍🤝‍🧑🏻
中午好	中午好 🙂️
中国	中国 🇨🇳
中国大陸	中国大陸 🇨🇳
中學	中學 🏫️
中指	中指 🖕🏻️
中方塊	中方塊 ◻️ ◼️
中產	中產 🧑🏻‍💼
中產女	中產女 👩🏻‍💼
中產男	中產男 👨🏻‍💼
中秋	中秋 🌕️ 🎑️
中秋節	中秋節 🌕️ 🎑️
中等白方	中等白方 ◻️
中等黑方	中等黑方 ◼️
中華人民共和国	中華人民共和国 🇨🇳
中華民国	中華民国 🇹🇼
中非	中非 🇨🇫
串燒	串燒 🍢️
丸子	丸子 🍡️
丹麥	丹麥 🇩🇰
主廚	主廚 🧑🏻‍🍳
主廚女	主廚女 👩🏻‍🍳
主廚男	主廚男 👨🏻‍🍳
主意	主意 💭️
乍得	乍得 🇹🇩
乒乓	乒乓 🏓️
乒乓球	乒乓球 🏓️
乒乓球拍	乒乓球拍 🏓️
乖	乖 😬️
乖孩子	乖孩子 🤓️
乘	乘 ✖️
九	九 9️⃣
九枝燈台	九枝燈台 🕎️
九枝燈臺	九枝燈臺 🕎️
九点	九点 🕘️
九点半	九点半 🕤️
也就這樣	也就這樣 😪️
也門	也門 🇾🇪
乳	乳 🥛
乳液	乳液 🧴
乳酪	乳酪 🧀
乾杯	乾杯 🥂
亂噏	亂噏 🤥
亂講	亂講 🤥
二	二 2️⃣
五	五 5️⃣
五弦琴	五弦琴 🪕
五指	五指 🖐🏻️
五絃琴	五絃琴 🪕
五角星	五角星 ⭐️
五点	五点 🕔️
五点半	五点半 🕠️
井號	井號 #️⃣
井號鍵	井號鍵 #️⃣
亚塞拜然	亚塞拜然 🇦🇿
亚森欣	亚森欣 🇸🇭
亚洲	亚洲 🌏️
亚美尼亚	亚美尼亚 🇦🇲
亚軍	亚軍 🥈
交通燈	交通燈 🚥️ 🚦️
享受	享受 ☺️
亮蛋	亮蛋 🧑🏻‍🦲
亮蛋女	亮蛋女 👩🏻‍🦲
亮蛋男	亮蛋男 👨🏻‍🦲
人字拖	人字拖 🩴
人工智能	人工智能 🤖️
人民幣	人民幣 💴️
人造衛星	人造衛星 🛰️
人魚	人魚 🧜🏻
人魚女	人魚女 🧜🏻‍♀️
人魚男	人魚男 🧜🏻‍♂️
仔	仔 🧒🏻
仔細	仔細 🧐
他	他 👤️
他們	他們 👥️
仙人	仙人 🧚🏻
仙人女	仙人女 🧚🏻‍♀️
仙人掌	仙人掌 🌵️
仙人男	仙人男 🧚🏻‍♂️
仙女	仙女 🧚🏻‍♀️
仙女棒	仙女棒 🎇️
仙子	仙子 🧚🏻‍♂️
以色列	以色列 🇮🇱
仲秋	仲秋 🌕️ 🎑️
企	企 🧍🏻
企女	企女 🧍🏻‍♀️
企男	企男 🧍🏻‍♂️
企鵝	企鵝 🐧️
伊拉克	伊拉克 🇮🇶
伊斯蘭	伊斯蘭 ☪️
伊斯蘭教	伊斯蘭教 ☪️
伊朗	伊朗 🇮🇷
休息	休息 😑️
休旅车	休旅车 🚙️
伯利茲	伯利茲 🇧🇿
估吓	估吓 😏️
低溫	低溫 🥶
低音量	低音量 🔉️
住宅區	住宅區 🏘️
住宿	住宿 🛌🏻️
住店	住店 🛌🏻️
佛堂	佛堂 🛐️
佛得角	佛得角 🇨🇻
佛殿	佛殿 🛐️
佛珠	佛珠 📿️
作弄	作弄 😜️
作曲	作曲 🎼️
你	你 🫵🏻
你也是	你也是 😏️ 😼️
你大爺	你大爺 🤬
你好	你好 🙂️
你妹	你妹 🤬
你媽	你媽 🤬
你媽屄	你媽屄 🤬
你猜	你猜 😏️ 😼️
來信	來信 📨️
來邮件	來邮件 📨️
便便	便便 💩️
便利店	便利店 🏪️
便條	便條 📝️
便當	便當 🥡
便餐	便餐 🥡
俄国	俄国 🇷🇺
俄羅斯	俄羅斯 🇷🇺
保加利亚	保加利亚 🇧🇬
保齡	保齡 🎳️
保齡球	保齡球 🎳️
信	信 ✉️
信件	信件 ✉️
信你有鬼	信你有鬼 😒️
信封	信封 ✉️
信用卡	信用卡 💳️
信箱	信箱 📮️
信號	信號 📶️
信號燈	信號燈 🚥️ 🚦️
倉鼠	倉鼠 🐹️
倒	倒 🤒️
倒帶	倒帶 ⏪️
倒彩	倒彩 🖕🏻️
倒掛列车	倒掛列车 🚟️
倒楣	倒楣 😫️
倒水	倒水 🫗
倒退	倒退 ⏪️ ◀️
借記卡	借記卡 💳️
假肢	假肢 🦾 🦿
假面	假面 🎭️ 🥸
做夢	做夢 💭️
做礼拜	做礼拜 🛐️
停	停 ⛔️
停止	停止 ⏹️
停止播放	停止播放 ⏹️
停车	停车 🅿️
停车場	停车場 🅿️
偵探	偵探 🕵🏻️
偵探女	偵探女 🕵🏻‍♀️
偵探男	偵探男 🕵🏻‍♂️
偷看	偷看 🫣
偷瞄	偷瞄 🫣
偷窺	偷窺 🫣
偷笑	偷笑 😏️ 🤭
傍晚	傍晚 🌆️
傘	傘 🌂️
備忘錄	備忘錄 📝️
傳呼機	傳呼機 📟️
傳真	傳真 📠️
傳真機	傳真機 📠️
傷	傷 🤕️
傷了	傷了 🤕️
傷心	傷心 ❤️‍🩹
傻	傻 🐷️
傻冒	傻冒 🐷️
傻屄	傻屄 🐷️
傻逼	傻逼 🐷️
像素遊戲	像素遊戲 👾️
僞裝	僞裝 🥸
儲蓄卡	儲蓄卡 💳️
元宵	元宵 🏮️
兄妹	兄妹 👫🏻️
兄弟	兄弟 👬🏻️
兄弟姊妹	兄弟姊妹 👫🏻️
兄弟姐妹	兄弟姐妹 👫🏻️
充電	充電 🔋️
先生	先生 🤵🏻‍♂️
光明	光明 🌞️
光明節	光明節 🕎️
光环	光环 🪐
光盤	光盤 💿️
光碟	光碟 💿️
光头	光头 🧑🏻‍🦲
光头女	光头女 👩🏻‍🦲
光头男	光头男 👨🏻‍🦲
克爾白	克爾白 🕋️
克羅地亚	克羅地亚 🇭🇷
克羅埃西亚	克羅埃西亚 🇭🇷
兌換	兌換 💱️
免打擾	免打擾 🔕️
免費	免費 🆓️
免費電話	免費電話 ➿️
兒	兒 👦🏻️
兒子	兒子 👦🏻️ 👨‍👩‍👦
兒童	兒童 🧒🏻
兔	兔 🐇️
兔女	兔女 👯🏻‍♀️
兔女郎	兔女郎 👯🏻‍♀️
兔子	兔子 🐇️
兔年	兔年 🐰️
兔男	兔男 👯🏻‍♂️
兔肉	兔肉 🐇️
兔头	兔头 🐰️
入場券	入場券 🎟️
內裤	內裤 🩲
全家	全家 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
兩人	兩人 👥️
兩儀	兩儀 ☯️
兩边打開	兩边打開 🔛️
兩点	兩点 🕑️
兩点半	兩点半 🕝️
八	八 8️⃣
八帶魚	八帶魚 🐙️
八爪魚	八爪魚 🐙️
八角星	八角星 ✳️ ✴️
八点	八点 🕗️
八点半	八点半 🕣️
公主	公主 👸🏻️
公交车	公交车 🚌️
公交车站	公交车站 🚏️
公園	公園 ⛲️
公放	公放 📢️
公文包	公文包 💼️
公牛	公牛 🐂️
公羊	公羊 🐏️
公车	公车 🚌️
公车站	公车站 🚏️
公雞	公雞 🐓️
六	六 6️⃣
六芒星	六芒星 ✡️
六点	六点 🕕️
六点半	六点半 🕡️
円	円 💴️
冇眼睇	冇眼睇 🙈️
再见	再见 👋🏻️
冒泡	冒泡 🫧
冠軍	冠軍 🏆️ 🥇
冥想	冥想 🧘🏻
冥想女	冥想女 🧘🏻‍♀️
冥想男	冥想男 🧘🏻‍♂️
冰	冰 🧊
冰冷	冰冷 🥶
冰刀	冰刀 ⛸️
冰塊	冰塊 🧊
冰壺	冰壺 🥌
冰島	冰島 🇮🇸
冰淇淋	冰淇淋 🍨️
冰激淋	冰激淋 🍨️
冰球	冰球 🏒️
冰鞋	冰鞋 ⛸️
冷	冷 ❄️ 🥶
冷漠	冷漠 😶️
冷笑	冷笑 😏️
凋謝	凋謝 🥀
凋零	凋零 🥀
凍	凍 🥶
出事了	出事了 🚨️
出国	出国 🚢️
出汗	出汗 🥵
出洋相	出洋相 🤡
出海	出海 🚢️
出租车	出租车 🚕️
出色	出色 🤩
出警	出警 🚨️
出遊	出遊 🚙️
出醜	出醜 🤡
刀	刀 🔪️
刀叉	刀叉 🍴️
分手	分手 💔️
分析報告	分析報告 📊️
切	切 🤪
划船	划船 🚣🏻
划船女	划船女 🚣🏻‍♀️
划船男	划船男 🚣🏻‍♂️
划艇	划艇 🚣🏻
划艇女	划艇女 🚣🏻‍♀️
划艇男	划艇男 🚣🏻‍♂️
列印機	列印機 🖨️
列支敦士登	列支敦士登 🇱🇮
列支敦斯登	列支敦斯登 🇱🇮
初中	初中 🏫️
別没说	別没说 🙊️
別亂講	別亂講 🙊️
別出聲	別出聲 🤫
別在意	別在意 🙏🏻️
別墅	別墅 🏡️
別墅區	別墅區 🏘️
別烦我	別烦我 😑️
別理我	別理我 😑️
没说	没说 🫢
没说了	没说了 🤐️ 🫢
没说話	没说話 🫢
別針	別針 🧷
別騙我	別騙我 😳️
刨冰	刨冰 🍧️
利是	利是 🧧
利比亚	利比亚 🇱🇾
利比里亚	利比里亚 🇱🇷
刮鬍刀	刮鬍刀 🪒
刺猥	刺猥 🦔
剃头	剃头 💇🏻
剃头女	剃头女 💇🏻‍♀️
剃头男	剃头男 💇🏻‍♂️
剃鬚刀	剃鬚刀 🪒
前	前 ➡️ ⬆️
剛果	剛果 🇨🇬
剛果金	剛果金 🇨🇩
剪	剪 ✂️
剪刀	剪刀 ✂️
剪切板	剪切板 📋️
剪子	剪子 ✂️
剪貼板	剪貼板 📋️
剪輯	剪輯 🎬️
剪头髮	剪头髮 💇🏻
剪头髮女	剪头髮女 💇🏻‍♀️
剪头髮男	剪头髮男 💇🏻‍♂️
剪髮	剪髮 💇🏻
剪髮女	剪髮女 💇🏻‍♀️
剪髮男	剪髮男 💇🏻‍♂️
割	割 🈹️
創可貼	創可貼 🩹
劍	劍 ⚔️
力量	力量 💪🏻️
加	加 ➕️
加冕	加冕 🫅🏻
加冕女	加冕女 🤴🏻
加冕男	加冕男 👸🏻️
加密	加密 🔐️
加彭	加彭 🇬🇦
加拿大	加拿大 🇨🇦
加油	加油 😼️
加油站	加油站 ⛽️
加納	加納 🇬🇭
加蓬	加蓬 🇬🇦
加那利群島	加那利群島 🇮🇨
助聽器	助聽器 🦻🏻
动车	动车 🚅️
勝利	勝利 🔱️
勞作	勞作 ⚒️
勞动	勞动 ⚒️
勞工	勞工 👨🏻‍🏭 🧑🏻‍🏭
勞工女	勞工女 👩🏻‍🏭
勞工男	勞工男 👨🏻‍🏭
勢利	勢利 🤑️
勳章	勳章 🎖️
勺	勺 🥄
勾	勾 ✅️ ✔️ 🪝
勾選	勾選 ✅️
勿丟垃圾	勿丟垃圾 🚯️
勿扔垃圾	勿扔垃圾 🚯️
勿擾	勿擾 🔕️
包穀	包穀 🌽️
包米	包米 🌽️
包裝盒	包裝盒 🎁️
包裹	包裹 📦️
匈牙利	匈牙利 🇭🇺
匕手	匕手 🗡️
化妝室	化妝室 🚻️
化學	化學 ⚗️
化學物質	化學物質 🧪
化粧室	化粧室 🚻️
北朝鮮	北朝鮮 🇰🇵
北極熊	北極熊 🐻‍❄️
北韓	北韓 🇰🇵
北馬利安納群島	北馬利安納群島 🇲🇵
北馬里亚納群島	北馬里亚納群島 🇲🇵
匙	匙 🥄
匯兌	匯兌 💱️
匿名	匿名 👤️
十	十 🔟️
十一点	十一点 🕚️
十一点半	十一点半 🕦️
十二点	十二点 🕛️
十二点半	十二点半 🕧️
十八禁	十八禁 🔞️
十字架	十字架 ✝️
十字路口	十字路口 🚥️ 🚦️
十字鎬	十字鎬 ⛏️
十点	十点 🕙️
十点半	十点半 🕥️
千里達及多巴哥	千里達及多巴哥 🇹🇹
千里達及托巴哥	千里達及托巴哥 🇹🇹
半月	半月 🌓️
半獸人	半獸人 🧌
南喬治亚和南桑威奇群島	南喬治亚和南桑威奇群島 🇬🇸
南喬治亚與南三明治群島	南喬治亚與南三明治群島 🇬🇸
南帽	南帽 🎩️
南朝鮮	南朝鮮 🇰🇷
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南瓜	南瓜 🎃️
南瓜人	南瓜人 🎃️
南瓜燈	南瓜燈 🎃️
南瓜臉	南瓜臉 🎃️
南蘇丹	南蘇丹 🇸🇸
南非	南非 🇿🇦
南韓	南韓 🇰🇷
博士	博士 🧑🏻‍🎓
博士女	博士女 👩🏻‍🎓
博士男	博士男 👨🏻‍🎓
博奈爾	博奈爾 🇧🇶
博茨瓦納	博茨瓦納 🇧🇼
卡塔爾	卡塔爾 🇶🇦
卡士達	卡士達 🍮️
卡车	卡车 🚛️ 🛻
卡達	卡達 🇶🇦
印尼	印尼 🇮🇩
印度	印度 🇮🇳
印度寺廟	印度寺廟 🛕
印度尼西亚	印度尼西亚 🇮🇩
印度廟	印度廟 🛕
印度教	印度教 🕉️ 🛕
印度神廟	印度神廟 🛕
危地馬拉	危地馬拉 🇬🇹
危險	危險 ⚠️ 🚨️
厄利垂亚	厄利垂亚 🇪🇷
厄瓜多	厄瓜多 🇪🇨
厄瓜多爾	厄瓜多爾 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷
原子	原子 ⚛️
原子弹	原子弹 ☢️
原子筆	原子筆 🖊️
原子能	原子能 ⚛️
原諒我	原諒我 🙏🏻️
厲害	厲害 🤩
去氧核糖核酸	去氧核糖核酸 🧬
參禪	參禪 🧘🏻
參禪女	參禪女 🧘🏻‍♀️
參禪男	參禪男 🧘🏻‍♂️
叉	叉 ❎️
叉叉	叉叉 ❌️
友誼	友誼 🤝🏻
取款	取款 🏧️
取款機	取款機 🏧️
取钱	取钱 🏧️
受傷	受傷 ❤️‍🩹 🤕️
受傷了	受傷了 🤕️
口	口 👄️
口岸	口岸 🛂️
口紅	口紅 💄️
口罩	口罩 😷️
古堡	古堡 🏰️
古巴	古巴 🇨🇺
可	可 🉑️
可以	可以 🆗️ 👌🏻️ 😉️
可回收	可回收 ♻️
可怕	可怕 😨️ 😱️ 🙀️ 🤯
可惜	可惜 😮‍💨
可爱	可爱 💠️ 🥰
可憐	可憐 🥺
可樂	可樂 🥤
可真	可真 😓️
台灣	台灣 🇹🇼
史巴克	史巴克 🖖🏻️
史波克	史波克 🖖🏻️
史瓦濟蘭	史瓦濟蘭 🇸🇿
右	右 ➡️ 🫱🏻
右上	右上 ↗️
右下	右下 ↘️
右前	右前 ↗️
右勾拳	右勾拳 🤛🏻
右后	右后 ↘️
右手	右手 🫲🏻 🫸🏻
右手边	右手边 👉🏻️
右拳	右拳 🤛🏻
右推	右推 🫸🏻
右边	右边 👉🏻️ 🫱🏻
右面	右面 🫱🏻
司南	司南 🧭
叻仔	叻仔 🤩
叻女	叻女 🤩
合	合 🈴️
合什	合什 🙏🏻️
合作	合作 🤝🏻
吉他	吉他 🎸️
吉士	吉士 🍮️
吉它	吉它 🎸️
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
吉爾吉斯	吉爾吉斯 🇰🇬
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉里巴斯	吉里巴斯 🇰🇮
同學	同學 🧑🏻‍🎓
同學女	同學女 👩🏻‍🎓
同學男	同學男 👨🏻‍🎓
同志	同志 👬🏻️
同性戀	同性戀 🏳️‍🌈
吐	吐 🤮
吐司	吐司 🍞️
吐瓦魯	吐瓦魯 🇹🇻
吐舌	吐舌 😛️
吐舌头	吐舌头 😛️
向上	向上 👆🏻️
向下	向下 👇🏻️
向右	向右 👉🏻️
向左	向左 👈🏻️
向日葵	向日葵 🌻️
向钱看	向钱看 🤑️
吓	吓 😦️
含蓄	含蓄 ☺️
吸把	吸把 🪠
吸血鬼	吸血鬼 🧛🏻
吸血鬼女	吸血鬼女 🧛🏻‍♀️
吸血鬼男	吸血鬼男 🧛🏻‍♂️
吹	吹 🌬️
吹氣	吹氣 🌬️
吹风	吹风 💨️
吻	吻 💋️ 😘️
吻你	吻你 😘️ 😙️ 😽️ 😽️
呂宋	呂宋 🇵🇭
呃	呃 😢️ 😿️ 🤪
呲牙	呲牙 😁️
呵呵	呵呵 🙃️ 🥲
呵護	呵護 🤲🏻
呼機	呼機 📟️
命中	命中 🎯️
和平	和平 ☮️ 🕊️
和平鴿	和平鴿 🕊️
和服	和服 👘️
咖啡	咖啡 ☕️
咖喱饭	咖喱饭 🍛️
咦	咦 🤨
咧嘴	咧嘴 😁️
咬嘴脣	咬嘴脣 🫦
咬脣	咬脣 🫦
哀悼	哀悼 💮️
哆嗦	哆嗦 🥶
哇	哇 😃️ 😯️
哇哦	哇哦 😃️ 😯️
哇喔	哇喔 😯️
哈	哈 😄️ 😸️
哈哈	哈哈 😄️ 😸️ 🤭
哈哈哈	哈哈哈 🤣
哈哈哈哈	哈哈哈哈 🤣
哈密瓜	哈密瓜 🍈️
哈欠	哈欠 🥱
哈薩克	哈薩克 🇰🇿
哈薩克斯坦	哈薩克斯坦 🇰🇿
哈雷彗星	哈雷彗星 ☄️
哎	哎 😮‍💨
哥倆	哥倆 👬🏻️
哥倆好	哥倆好 👬🏻️
哥倫比亚	哥倫比亚 🇨🇴
哥妹	哥妹 👫🏻️
哥弟	哥弟 👬🏻️
哥斯大黎加	哥斯大黎加 🇨🇷
哥斯達黎加	哥斯達黎加 🇨🇷
哦	哦 😮️
哦哦	哦哦 😀️
哦耶	哦耶 ✌🏻️
哭	哭 😭️
哭了	哭了 😭️
哭泣	哭泣 😭️
哭笑	哭笑 😂️ 😹️
哺乳	哺乳 🤱🏻
哼	哼 😤️ 😾️ 🙄️
唉	唉 😪️ 😮‍💨
唓	唓 🤪
唔好意思	唔好意思 🙏🏻️
唔好講	唔好講 🙊️
唔明	唔明 😵‍💫 😵️
唔畀睇	唔畀睇 🙈️
唔畀聽	唔畀聽 🙉️
唔畀講	唔畀講 🙊️
唔知	唔知 😲️ 🤷🏻
唔知女	唔知女 🤷🏻‍♀️
唔知男	唔知男 🤷🏻‍♂️
唔關我事	唔關我事 🤷🏻
唔關我事女	唔關我事女 🤷🏻‍♀️
唔關我事男	唔關我事男 🤷🏻‍♂️
唯利是圖	唯利是圖 🤑️
唱	唱 🎤️
唱K	唱K 🪩
唱歌	唱歌 🎤️
唵	唵 🕉️
商場	商場 🏬️
商標	商標 ™️
商販	商販 👲🏻️
啊	啊 😢️ 😥️ 😿️ 🤨
啊嚏	啊嚏 🤧
問叹号	問叹号 ⁉️
問號	問號 ❓️ ❔️
啤酒	啤酒 🍺️
啥也没说	啥也没说 🙊️
啥啊	啥啊 😲️
啦啦隊	啦啦隊 👯🏻 🥳
啦啦隊女	啦啦隊女 👯🏻‍♀️
啦啦隊男	啦啦隊男 👯🏻‍♂️
喀麥隆	喀麥隆 🇨🇲
喂奶	喂奶 🧑🏻‍🍼
喂奶女	喂奶女 👩🏻‍🍼
喂奶男	喂奶男 👨🏻‍🍼
喇叭	喇叭 🎺️ 📣️
喊	喊 🗣️
喊話	喊話 🗣️
喔	喔 😮️ 😶️
喔耶	喔耶 ✌🏻️
喜爱	喜爱 😻️
喜歡	喜歡 ☺️ 😍️ 😻️ 🥰
喜歡你	喜歡你 😍️ 😻️
喜馬紅	喜馬紅 🧉
喝采	喝采 🥳
喧譁	喧譁 🗣️
喫吧	喫吧 😋️
喫饭	喫饭 🍚️
喫面	喫面 🍜️
喬治亚	喬治亚 🇬🇪
單峯駱駝	單峯駱駝 🐪️
單曲循环	單曲循环 🔂️
單板	單板 🏂🏻️
單板滑雪	單板滑雪 🏂🏻️
單亲媽媽	單亲媽媽 👩‍👦 👩‍👧 👩‍👧‍👦
單亲家庭	單亲家庭 👨‍👦 👨‍👧 👨‍👧‍👦 👩‍👦 👩‍👧 👩‍👧‍👦
單亲爸爸	單亲爸爸 👨‍👦 👨‍👧 👨‍👧‍👦
單身母亲	單身母亲 👩‍👦 👩‍👧 👩‍👧‍👦
單身父亲	單身父亲 👨‍👦 👨‍👧 👨‍👧‍👦
單车	單车 🚲️
單軌電车	單軌電车 🚝️
單選框	單選框 🔘️
喲	喲 😯️
営	営 🈺️
嗚嗚	嗚嗚 😖️
嗚嗚嗚	嗚嗚嗚 😖️
嗯	嗯 😶️ 🤨
嗯哼	嗯哼 🫤
嗯嗯	嗯嗯 😀️
嘆惜	嘆惜 😮‍💨
嘆氣	嘆氣 😮‍💨
嘟嘴	嘟嘴 😗️
嘪	嘪 😟️
嘴	嘴 👄️
嘴脣	嘴脣 👄️
嘻嘻	嘻嘻 😁️ 🤭
嘿嘿	嘿嘿 😈️ 😏️ 🤭
噁心	噁心 🤢 🤮
噓	噓 🤫
噘嘴	噘嘴 😗️ 🙎🏻
噘嘴女	噘嘴女 🙎🏻‍♀️
噘嘴男	噘嘴男 🙎🏻‍♂️
噢	噢 😐️ 😮️
噢噢	噢噢 😀️
噢耶	噢耶 ✌🏻️
噴嚏	噴嚏 🤧
噴氣	噴氣 💨️
噴泉	噴泉 ⛲️
噴头	噴头 🚿️
嚇人	嚇人 😱️ 🙀️
嚇死	嚇死 😱️ 🙀️
四	四 4️⃣
四腳蛇	四腳蛇 🦎
四叶草	四叶草 🍀️
四点	四点 🕓️
四点半	四点半 🕟️
回到開始	回到開始 🔚️
回到頂部	回到頂部 🔝️
回形針	回形針 📎️
回收	回收 ♻️
回族	回族 ☪️ 🧕🏾
回民	回民 ☪️ 🧕🏾
囧	囧 😅️ 😰️
圈圈	圈圈 ⭕️
国家公園	国家公園 🏞️
国際	国際 🌐️
国際象棋	国際象棋 ♟️
圍巾	圍巾 🧣
圍脖	圍脖 🧣
圍頸	圍頸 🧣
圓圈	圓圈 ⭕️
圓月	圓月 🌕️
圓珠筆	圓珠筆 🖊️
圖瓦盧	圖瓦盧 🇹🇻
圖釘	圖釘 📍️
土克斯及開科斯群島	土克斯及開科斯群島 🇹🇨
土庫曼	土庫曼 🇹🇲
土庫曼斯坦	土庫曼斯坦 🇹🇲
土星	土星 🪐
土耳其	土耳其 🇹🇷
土豆	土豆 🥔
土豪	土豪 💰️
在建	在建 🏗️
圭亚那	圭亚那 🇬🇾
地下鐵	地下鐵 🚇️
地圖	地圖 🗺️
地球	地球 🌍️ 🌎️ 🌏️
地瓜	地瓜 🍠️
地鐵	地鐵 Ⓜ️ 🚇️
坐车	坐车 🚙️
坦尚尼亚	坦尚尼亚 🇹🇿
坦桑尼亚	坦桑尼亚 🇹🇿
垂斯坦昆哈	垂斯坦昆哈 🇸🇭
